"","MGM_BLD_PK","ENTIR_ADDR","USE_PURPS_CD","USE_YM","USE_QTY","USE_QTY_ORIGIN","UNIT_CD","ENGY_SPLY_KIK_CD","ENGY_ESNCNO"
"51","41171-28349","경기도 안양시 만안구 안양동 371번지",7,202001,293.927,292,1,1100100000,214657904
"52","41171-28349","경기도 안양시 만안구 안양동 371번지",7,202001,3543.136,3709.257,8,1201000000,6100315668
"53","41171-28350","경기도 안양시 만안구 안양동 371번지",7,202001,237.938,248,1,1100100000,242593975
"54","41171-28350","경기도 안양시 만안구 안양동 371번지",7,202001,7304.608,7333.243,8,1201000000,6100315084
"55","41171-28351","경기도 안양시 만안구 안양동 371번지",7,202001,205.361,204,1,1100100000,214657860
"56","41171-28351","경기도 안양시 만안구 안양동 371번지",7,202001,4657.823,4988.311,8,1201000000,6100315520
"57","41171-28352","경기도 안양시 만안구 안양동 371번지",7,202001,239.139,243,1,1100100000,214657780
"58","41171-28352","경기도 안양시 만안구 안양동 371번지",7,202001,2471.054,2472.838,8,1201000000,6100315285
"59","41171-28353","경기도 안양시 만안구 안양동 371번지",7,202001,229.335,227,1,1100100000,214657655
"60","41171-28353","경기도 안양시 만안구 안양동 371번지",7,202001,6213.279,6054.189,8,1201000000,6100315023
"61","41171-28354","경기도 안양시 만안구 안양동 371번지",7,202001,257.354,256,1,1100100000,214657753
"62","41171-28354","경기도 안양시 만안구 안양동 371번지",7,202001,2895.88,3155,8,1201000000,6100315230
"63","41171-28355","경기도 안양시 만안구 안양동 371번지",7,202001,327.484,318,1,1100100000,214657717
"64","41171-28355","경기도 안양시 만안구 안양동 371번지",7,202001,8015.388,8441.757,8,1201000000,6100315114
"65","41171-28356","경기도 안양시 만안구 안양동 371번지",7,202001,234.134,232,1,1100100000,214657842
"66","41171-28356","경기도 안양시 만안구 안양동 371번지",7,202001,7671.67,7887.5,8,1201000000,6100315460
"67","41171-28357","경기도 안양시 만안구 안양동 371번지",7,202001,228.197,228,1,1100100000,214657913
"68","41171-28357","경기도 안양시 만안구 안양동 371번지",7,202001,2369.471,2558.108,8,1201000000,6100315719
"69","41171-28358","경기도 안양시 만안구 안양동 371번지",7,202001,213.801,214,1,1100100000,214657879
"70","41171-28358","경기도 안양시 만안구 안양동 371번지",7,202001,6842.937,7034.797,8,1201000000,6100315574
"71","41171-28359","경기도 안양시 만안구 안양동 371번지",7,202001,143.777,143,1,1100100000,214657833
"72","41171-28359","경기도 안양시 만안구 안양동 371번지",7,202001,4994.553,5372.027,8,1201000000,6100315425
"73","41171-28360","경기도 안양시 만안구 안양동 371번지",7,202001,195.452,248,1,1100100000,242434718
"74","41171-28360","경기도 안양시 만안구 안양동 371번지",7,202001,4724.286,3325.852,8,1201000000,6100315323
"75","41171-28361","경기도 안양시 만안구 안양동 371번지",7,202001,300.064,302,1,1100100000,214657744
"76","41171-28361","경기도 안양시 만안구 안양동 371번지",7,202001,4984.716,4988.311,8,1201000000,6100315203
"77","41171-28362","경기도 안양시 만안구 안양동 371번지",7,202001,276.612,295,1,1100100000,214657824
"78","41171-28362","경기도 안양시 만안구 안양동 371번지",7,202001,3616.497,4647.229,8,1201000000,6100315401
"79","41171-28363","경기도 안양시 만안구 안양동 371번지",7,202001,90.965,90,1,1100100000,214657762
"80","41171-28363","경기도 안양시 만안구 안양동 371번지",7,202001,2043.365,1577.5,8,1201000000,6100315259
"81","41171-28364","경기도 안양시 만안구 안양동 371번지",7,202001,220.199,220,1,1100100000,214657735
"82","41171-28364","경기도 안양시 만안구 안양동 371번지",7,202001,4692.229,5116.216,8,1201000000,6100315179
"83","41171-28365","경기도 안양시 만안구 안양동 371번지",7,202001,264.022,265,1,1100100000,214657726
